abandon ; покидать/бросать/оставлять ; забывать ; избегать ; forget ; avoid ; Капитан не хотел покидать тонущее судно. ; The captain did not want to abandon the sinking ship. ; əˈbændən
abandon ; отказываться/сдаваться ; терять ; прекращать ; lose ; stop ; Он решил отказаться от своей идеи и начать новый проект. ; He decided to abandon his idea and start a new project. ; əˈbændən
abandoned ; покинутый/брошенный ; оставленный ; забытый ; forsaken ; neglected ; Мы нашли старый, полностью покинутый дом в лесу. ; We found an old, completely abandoned house in the woods. ; əˈbændənd
ability ; способность/возможность ; талант ; навык ; talent ; skill ; У него есть удивительная способность быстро учить новые языки. ; He has an amazing ability to learn new languages quickly. ; əˈbɪlɪti
able ; способный/в состоянии ; умный ; готовый ; smart ; ready ; Он не был в состоянии закончить проект вовремя из-за болезни. ; He was not able to finish the project on time due to illness. ; ˈeɪbəl
about ; о/относительно ; вокруг ; примерно ; around ; roughly ; Они говорили о новом проекте весь вечер. ; They talked about the new project all evening. ; əˈbaʊt
about ; примерно/около ; вокруг ; почти ; approximately ; nearly ; Мне понадобилось около часа, чтобы добраться до вокзала. ; It took me about an hour to get to the station. ; əˈbaʊt
above ; над/выше ; под ; впереди ; beneath ; ahead ; Над облаками всегда светит солнце. ; Above the clouds the sun is always shining. ; əˈbʌv
above ; выше ; внизу ; снаружи ; below ; outside ; См. информацию, указанную выше. ; See the information given above. ; əˈbʌv
abroad ; за границей/за рубежом ; дома ; снаружи ; home ; outside ; Моя мечта — жить и работать за границей. ; My dream is to live and work abroad. ; əˈbrɔːd
absence ; отсутствие ; присутствие ; нехватка ; presence ; lack ; Мы заметили его отсутствие на утреннем совещании. ; We noticed his absence at the morning meeting. ; ˈæbsəns
absent ; отсутствующий ; потерянный ; забытый ; missing ; forgotten ; Он отсутствовал на работе последние три дня. ; He has been absent from work for the last three days. ; ˈæbsənt
absolute ; абсолютный/полный ; относительный ; частичный ; relative ; partial ; Нам нужна абсолютная тишина для проведения этого теста. ; We need absolute silence to conduct this test. ; ˈæbsəluːt
absolutely ; абсолютно/безусловно ; возможно ; почти ; possibly ; nearly ; Вы абсолютно правы в своем анализе ситуации. ; You are absolutely right in your analysis of the situation. ; ˈæbsəluːtli
absorb ; поглощать/впитывать ; выделять ; отражать ; emit ; reflect ; Губка может поглощать большое количество воды. ; The sponge can absorb a large amount of water. ; əbˈzɔːrb
absorb ; усваивать/воспринимать ; отвлекать ; игнорировать ; distract ; ignore ; Ему требуется много времени, чтобы усваивать новую информацию. ; It takes him a long time to absorb new information. ; əbˈzɔːrb
abuse ; злоупотреблять ; использовать ; помогать ; utilize ; assist ; Он начал злоупотреблять алкоголем после потери работы. ; He started to abuse alcohol after losing his job. ; əˈbjuːs
abuse ; жестокое обращение/насилие ; помощь ; поддержка ; aid ; support ; Жестокое обращение с детьми является серьезным преступлением. ; Child abuse is a serious crime. ; əˈbjuːs
academic ; академический/учебный ; профессиональный ; образованный ; professional ; learned ; Он решил продолжить свою академическую карьеру в университете. ; He decided to pursue his academic career at the university. ; ækəˈdɛmɪk
accent ; акцент/произношение ; диалект ; манера ; dialect ; manner ; У нее был сильный французский акцент, когда она говорила по-английски. ; She had a strong French accent when she spoke English. ; ˈæksɛnt
accent ; ударение ; интонация ; тон ; intonation ; tone ; Укажите правильное ударение в этом слове. ; Indicate the correct accent in this word. ; ˈæksɛnt
accept ; принимать/соглашаться ; возражать ; отказываться ; object ; refuse ; Он не хотел принимать помощь от своих друзей. ; He did not want to accept help from his friends. ; əkˈsɛpt
acceptable ; приемлемый/допустимый ; идеальный ; плохой ; perfect ; poor ; Уровень шума в этом районе является вполне приемлемым. ; The noise level in this area is quite acceptable. ; əkˈsɛptəbəl
access ; доступ/вход ; выход ; закрытие ; exit ; closure ; Только у персонала есть доступ в эту зону. ; Only staff have access to this area. ; ˈæksɛs
access ; получать доступ/обращаться ; открывать ; сохранять ; open ; save ; Я не могу получить доступ к своему банковскому счету онлайн. ; I cannot access my bank account online. ; ˈæksɛs
accident ; авария/несчастный случай ; инцидент ; результат ; incident ; result ; На шоссе произошла серьезная авария, и движение было перекрыто. ; A serious accident occurred on the highway, and traffic was blocked. ; ˈæksɪdənt
accidental ; случайный/непреднамеренный ; умышленный ; важный ; deliberate ; important ; Мы узнали о существовании этого места благодаря случайному совпадению. ; We learned about this place due to an accidental coincidence. ; æksɪˈdɛntəl
accidentally ; случайно/нечаянно ; намеренно ; осознанно ; intentionally ; knowingly ; Я случайно нажал не на ту кнопку и удалил файл. ; I accidentally pressed the wrong button and deleted the file. ; æksɪˈdɛntəli
accommodation ; жилье/размещение ; дом ; путешествие ; home ; travel ; Нам нужно забронировать жилье для нашей поездки заранее. ; We need to book accommodation for our trip in advance. ; əˌkɒməˈdeɪʃən
accompany ; сопровождать/следовать ; убегать ; покидать ; run away ; leave ; Он попросил своего друга сопровождать его на вечернее мероприятие. ; He asked his friend to accompany him to the evening event. ; əˈkʌmpəni
according to ; согласно/в соответствии с ; вопреки ; независимо ; despite ; regardless ; Согласно прогнозу погоды, завтра будет солнечно. ; According to the weather forecast, it will be sunny tomorrow. ; əˈkɔːrdɪŋ tuː
account ; счет (банковский)/отчет ; квитанция ; договор ; receipt ; contract ; Мы внесли деньги на наш новый банковский счет. ; We deposited money into our new bank account. ; əˈkaʊnt
account ; учет/внимание ; причина ; история ; reason ; history ; Примите во внимание все риски перед началом работы. ; Take all risks into account before starting the work. ; əˈkaʊnt
account for ; объяснять/составлять (часть) ; скрывать ; игнорировать ; hide ; ignore ; Как вы можете объяснить внезапное снижение продаж? ; How can you account for the sudden drop in sales? ; əˈkaʊnt fɔːr
accurate ; точный/правильный ; неверный ; приблизительный ; incorrect ; approximate ; Нам нужны точные данные для завершения отчета. ; We need accurate data to finalize the report. ; ˈækjʊrət
accurately ; точно/правильно ; неточно ; небрежно ; imprecisely ; carelessly ; Он смог точно предсказать результат эксперимента. ; He was able to predict the outcome of the experiment accurately. ; ˈækjʊrətli
accuse ; обвинять/винить ; оправдывать ; защищать ; justify ; defend ; Они обвиняют его в краже денег из кассы. ; They accuse him of stealing money from the till. ; əˈkjuːz
achieve ; достигать/добиваться ; проигрывать ; сдаваться ; lose ; give up ; Мы поставили цель и должны ее достичь к концу года. ; We set a goal and must achieve it by the end of the year. ; əˈʧiːv
achievement ; достижение/успех ; провал ; попытка ; failure ; attempt ; Получение этой награды — большое достижение для всей команды. ; Receiving this award is a great achievement for the whole team. ; əˈʧiːvmənt
acid ; кислота ; вода ; основание ; water ; base ; Лимонный сок содержит лимонную кислоту. ; Lemon juice contains citric acid. ; ˈæsɪd
acid ; кислый ; сладкий ; мягкий ; sweet ; mild ; У этого фрукта очень кислый вкус. ; This fruit has a very acid taste. ; ˈæsɪd
acknowledge ; признавать/подтверждать ; отрицать ; игнорировать ; deny ; ignore ; Он отказался признавать свою ошибку. ; He refused to acknowledge his mistake. ; əkˈnɒlɪʤ
a couple ; пара/несколько ; один ; много ; one ; many ; Дайте мне пару минут, чтобы закончить эту задачу. ; Give me a couple of minutes to finish this task. ; ə ˈkʌpəl
acquire ; приобретать/получать ; отдавать ; терять ; give away ; lose ; Компания стремится приобретать новые технологии для повышения эффективности. ; The company aims to acquire new technologies to increase efficiency. ; əˈkwaɪər
across ; через/сквозь ; вдоль ; около ; along ; near ; Мы переплыли через реку за несколько минут. ; We swam across the river in a few minutes. ; əˈkrɒs
across ; поперек/напротив ; сбоку ; внизу ; aside ; below ; Напротив улицы находится наш новый офис. ; Our new office is across the street. ; əˈkrɒs
act ; действовать/поступать ; бездействовать ; говорить ; remain inactive ; talk ; Ты должен действовать быстро, чтобы не упустить шанс. ; You must act fast not to miss the chance. ; ækt
act ; акт/действие/закон ; пауза ; мысль ; pause ; thought ; Это был акт огромной храбрости, достойный уважения. ; It was an act of immense bravery worthy of respect. ; ækt
action ; действие/поступок ; бездействие ; размышление ; inaction ; reflection ; Пришло время перейти от слов к действиям. ; It's time to move from words to action. ; ˈækʃən
active ; активный/деятельный ; пассивный ; медленный ; passive ; slow ; Он очень активный человек и всегда занимается спортом. ; He is a very active person and always does sports. ; ˈæktɪv
actively ; активно/деятельно ; пассивно ; неохотно ; passively ; reluctantly ; Мы активно ищем новых партнеров для нашего проекта. ; We are actively looking for new partners for our project. ; ˈæktɪvli
activity ; деятельность/активность ; отдых ; бездействие ; rest ; inactivity ; Главная деятельность компании связана с разработкой программного обеспечения. ; The company's main activity is related to software development. ; ækˈtɪvəti
actor ; актер/исполнитель ; режиссер ; зритель ; director ; spectator ; Этот актер получил премию за лучшую мужскую роль. ; This actor received an award for the best male role. ; ˈæktər
actress ; актриса/исполнительница ; писательница ; певица ; writer ; singer ; Она — талантливая актриса театра и кино. ; She is a talented actress of theater and cinema. ; ˈæktrəs
actual ; фактический/реальный ; воображаемый ; возможный ; imaginary ; possible ; Фактические расходы оказались выше, чем мы ожидали. ; The actual costs turned out to be higher than we expected. ; ˈækʧuəl
actually ; на самом деле/фактически ; теоретически ; вероятно ; theoretically ; probably ; На самом деле, ситуация оказалась гораздо сложнее. ; Actually, the situation turned out to be much more complicated. ; ˈækʧuəli
ad ; объявление/реклама ; статья ; новость ; article ; news ; Это объявление привлекло мое внимание в газете. ; This ad caught my attention in the newspaper. ; æd
adapt ; адаптировать/приспосабливать ; исправлять ; забывать ; correct ; forget ; Мы должны адаптировать наше программное обеспечение для новых устройств. ; We must adapt our software for new devices. ; əˈdæpt
adapt ; адаптироваться/привыкать ; сопротивляться ; стоять ; resist ; stand ; Ей было сложно адаптироваться к новому климату. ; It was difficult for her to adapt to the new climate. ; əˈdæpt
add ; добавлять/прибавлять ; вычитать ; убирать ; subtract ; remove ; Пожалуйста, добавьте сахар в свой кофе, если хотите. ; Please add sugar to your coffee if you want. ; æd
addition ; дополнение/добавка ; исключение ; потеря ; exclusion ; loss ; Эта книга стала важным дополнением к нашей библиотеке. ; This book became an important addition to our library. ; əˈdɪʃən
addition ; сложение ; деление ; умножение ; division ; multiplication ; Ученики изучали сложение и вычитание на уроке математики. ; Students studied addition and subtraction in the math lesson. ; əˈdɪʃən
additional ; дополнительный/избыточный ; основной ; меньший ; main ; lesser ; Вам понадобится дополнительное время для завершения задания. ; You will need additional time to complete the assignment. ; əˈdɪʃənəl
add on ; добавлять/включать ; исключать ; выбрасывать ; exclude ; discard ; Мы решили добавить дополнительный модуль к нашей системе. ; We decided to add on an extra module to our system. ; æd ɒn
address ; адрес ; номер ; телефон ; number ; telephone ; Я не могу вспомнить его домашний адрес. ; I can't remember his home address. ; əˈdrɛs
address ; обращаться/решать (проблему) ; игнорировать ; избегать ; ignore ; avoid ; Мы должны немедленно обратиться к этой проблеме. ; We must address this problem immediately. ; əˈdrɛs
add up ; складывать/иметь смысл ; делить ; запутывать ; divide ; confuse ; Эти цифры не складываются, здесь должна быть ошибка. ; These figures don't add up, there must be a mistake here. ; æd ʌp
add up to ; составлять/равняться ; вычитать ; противоречить ; subtract ; contradict ; Все наши расходы составляют большую сумму. ; All our expenses add up to a large amount. ; æd ʌp tuː
adequate ; адекватный/достаточный ; избыточный ; недостаточный ; excessive ; insufficient ; У нас есть адекватные ресурсы для завершения проекта. ; We have adequate resources to complete the project. ; ˈædɪkwət
adequately ; адекватно/достаточно ; плохо ; избыточно ; poorly ; excessively ; Мы не были достаточно подготовлены к внезапным изменениям. ; We were not adequately prepared for the sudden changes. ; ˈædɪkwətli
adjust ; регулировать/настраивать ; ломать ; отключать ; break ; disable ; Вы можете отрегулировать громкость с помощью этой кнопки. ; You can adjust the volume using this button. ; əˈʤʌst
adjust ; приспосабливаться/адаптироваться ; сопротивляться ; мешать ; resist ; interfere ; Ему понадобилось время, чтобы приспособиться к новому расписанию. ; It took him time to adjust to the new schedule. ; əˈʤʌst
