yes;да;нет;возможно;no;maybe;Да, я приду.;Yes, I will come.;jes
yesterday;вчера;сегодня;завтра;today;tomorrow;Я видел его вчера.;I saw him yesterday.;ˈjestədeɪ
yet;еще/до сих пор;уже;никогда;already;never;Он еще не пришел.;He hasn't come yet.;jet
you;ты/вы;я;они;I;they;Ты должен это увидеть.;You must see it.;juː
young;молодой;старый;взрослый;old;adult;Он очень молодой.;He is very young.;jʌŋ
your;твой/ваш;мой;его;my;his;Это твоя книга.;This is your book.;jɔː
yours;твой/ваш (притяжательное местоимение);мой;его;mine;his;Это твоё.;This is yours.;jɔːz
yourself;ты сам/себя;он сам;мы сами;himself;ourselves;Позаботься о себе.;Take care of yourself.;jɔːˈself
youth;молодежь/юность;старость;детство;old age;childhood;Он потратил свою юность на учебу.;He spent his youth studying.;juːθ
zero;ноль;один;бесконечность;one;infinity;На часах было ноль.;The clock showed zero.;ˈzɪərəʊ
zone;зона;везде;пространство;everywhere;space;Это запретная зона.;This is a restricted zone.;zəʊn
